node_kind,node_id,name_en,latitude,longitude,osm_fclass,match_quality,source
place,PLC0127,Gulistan (Hanif Flyover),23.7245952,90.4119248,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0128,Gulistan Morh,23.7245952,90.4119248,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0129,Gulshan-1,23.7802946,90.4162986,bus_stop,tokens,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0130,Gulshan-2,23.7802946,90.4162986,bus_stop,tokens,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0132,Hemayetpur,23.7930630,90.2719440,bus_stop,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0133,High Court,23.7316850,90.4048858,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0135,House Building,23.8748268,90.4006897,bus_stop,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0137,Islampur,23.0598236,89.6609660,village,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0146,Jirabo,23.9133723,90.3195220,bus_station,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0154,Kakoli,23.7943170,90.4014531,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0155,Kakrail,23.7376473,90.4083108,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0156,Kalabagan,23.7474966,90.3801973,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0157,Kalampur,23.9179190,90.1546470,bus_stop,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0163,Kalyanpur,23.7782115,90.3609670,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0164,Kamalapur,23.7327369,90.4250317,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0165,Kamalapur (Pirjangi Mazar),23.7327369,90.4250317,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0166,Kamalapur Station,23.7327369,90.4250317,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0169,Kamarpara,23.8916243,90.3885659,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0170,Kamrangirchar (Beribadh),23.7145473,90.3813578,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0178,Kawran Bazar,23.7503054,90.3930252,bus_stop,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0179,Kazipara,23.7971079,90.3729885,bus_station,name,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0181,Keraniganj,23.7015991,90.3973748,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0182,Keraniganj (New Jail),23.7015991,90.3973748,bus_stop,subset,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
place,PLC0184,Khamarbari,23.7584744,90.3832482,bus_stop,exact,CommuteBD_Bangladesh_Master_v1 (OpenStreetMap)
