raw_stop_name,normalized_stop_name,existing_canonical_place_id,existing_canonical_name_en,existing_match_score,existing_match_method,candidate_place_id,candidate_place_name_en,candidate_place_similarity,candidate_osm_stop_id,candidate_osm_stop_name,candidate_osm_latitude,candidate_osm_longitude,candidate_osm_similarity,proposal_status,safe_to_auto_verify,source_id
Salimullah Road,salimullah road,,,0.5833,unmatched,PLC0207,Link Road,0.5833,13257991792,"Salimuddin Market Road, Bus stop",23.794582,90.353556,0.6486,manual_review,no,SRC_BUS_GITHUB
Sanarpar,sanarpar,,,0.7059,unmatched,PLC0169,Kamarpara,0.7059,3518348924,sanarpar bus stop,23.6949106,90.4902493,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Saudi Colony,saudi colony,,,0.5217,unmatched,PLC0324,Sainik Club,0.5217,5880031445,Saudi Colony Bus Stop,23.7783443,90.3893653,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Savar Cantonment,savar cantonment,,,0.5385,unmatched,PLC0008,Ansar Camp,0.5385,12169756307,Savar Cantonment,23.917256,90.2603874,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Shahjadpur,shahjadpur,,,0.6667,unmatched,PLC0253,Mohammadpur,0.6667,5449694922,Shahjadpur Bus Stop,23.7920887,90.4245009,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Shantinagar,shantinagar,,,0.7619,unmatched,PLC0220,Maniknagar,0.7619,12033283446,Shanti Nogor Bus stop,23.7415284,90.4116636,0.7826,manual_review,no,SRC_BUS_GITHUB
Shewra,shewra,,,0.8333,unmatched,PLC0336,Sheora,0.8333,12078093554,Shewra Bus stop,23.8190439,90.4155151,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Shia Mosque,shia mosque,,,0.6471,unmatched,PLC0258,Mohammadpur Shia Mosque,0.6471,3016703130,Proshika More Bus Stop,23.8096296,90.36101,0.6667,manual_review,no,SRC_BUS_GITHUB
Shib Bari,shib bari,,,0.7778,unmatched,PLC0342,Shialbari,0.7778,12169756301,Polash Bari,23.932063,90.266786,0.7000,manual_review,no,SRC_BUS_GITHUB
Shibu Market,shibu market,,,0.6364,unmatched,PLC0279,New Market,0.6364,5185571790,Sibu Market Bus Stop,23.6441317,90.493558,0.9565,review_high_osm_similarity,no,SRC_BUS_GITHUB
Shimultola,shimultola,,,0.625,unmatched,PLC0054,Bhulta,0.6250,12169756319,Shimultola Bus Stand,23.9374033,90.2857143,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Shonbari Sreenagar,shonbari sreenagar,,,0.5926,unmatched,PLC0267,Nabinagar,0.5926,12169756303,Nobinagar Bus Stop,23.911852,90.2605,0.5926,manual_review,no,SRC_BUS_GITHUB
Showari Ghat,showari ghat,,,0.6667,unmatched,PLC0224,Mawa Ghat,0.6667,12028983349,Showari Ghat Bus stop,23.7114366,90.3943348,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Signal,signal,,,0.6667,unmatched,PLC0348,Signboard,0.6667,3345602131,Bata Signal Bus Stop,23.7389887,90.388255,0.7059,manual_review,no,SRC_BUS_GITHUB
Sikder Medical College,sikder medical college,,,0.5882,unmatched,PLC0106,Eden College,0.5882,12022700718,Sikder Medical Bus Stand,23.7412154,90.3605143,0.7778,manual_review,no,SRC_BUS_GITHUB
Sony Cinema Hall Mirpur 1,sony cinema hall mirpur 1,,,0.7317,unmatched,PLC0352,Soni Cinema Hall,0.7317,13266827014,"Sony Hall / Mirpur 1, Bus stop",23.7997041,90.3548493,0.8372,manual_review,no,SRC_BUS_GITHUB
South Banasree,south banasree,,,0.5714,unmatched,PLC0064,Bonsree,0.5714,2994771585,Notun Bazar Bus Stop,23.7969059,90.4237478,0.5600,manual_review,no,SRC_BUS_GITHUB
Star Kabab,star kabab,,,0.5833,unmatched,PLC0379,Uttara Diabari,0.5833,12012251129,Star Kabab Bus Stop,23.7474471,90.3707129,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Station Road,road,,,0.6154,unmatched,PLC0356,Staff Road,0.7273,12104116680,Station Road Bus Stand,23.8929115,90.4019846,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Sura Bari,sura bari,,,0.7059,unmatched,PLC0304,Rajabari,0.7059,5767693150,Sura Bari,23.9628511,90.3168561,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Tajmahal Road,tajmahal road,,,0.6957,unmatched,PLC0226,Mazar Road,0.6957,12110053608,Bonomala Road Bus Stop,23.9104811,90.3973328,0.6154,manual_review,no,SRC_BUS_GITHUB
Taltola,taltola,,,0.6667,unmatched,PLC0144,Jigatola,0.6667,3739984012,Taltola,23.7832966,90.3785274,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Tarabo,tarabo,,,0.6667,unmatched,PLC0044,Basabo,0.6667,12293505365,"Zirabo Bus stop, Bus stop",23.9131721,90.3187806,0.6667,manual_review,no,SRC_BUS_GITHUB
Tolarbag,tolarbag,,,0.625,unmatched,PLC0010,Arambagh,0.6250,13257966516,"Tolarbag Bus Stop, Bus stop",23.7871935,90.353776,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Vashantek,vashantek,,,0.6667,unmatched,PLC0052,Bhabantek,0.6667,4527767781,Asad Gate Stopage,23.7605337,90.3726271,0.5556,manual_review,no,SRC_BUS_GITHUB
Vulta,vulta,,,0.7273,unmatched,PLC0054,Bhulta,0.7273,11818535608,Gulistan Bus Stop,23.7245952,90.4119248,0.6154,manual_review,no,SRC_BUS_GITHUB
Wireless,wireless,,,0.4444,unmatched,PLC0298,Press Club,0.4444,12006314403,Wireless Mor Bus stop,23.7807869,90.4054338,0.8000,manual_review,no,SRC_BUS_GITHUB
Zia Uddyan,zia uddyan,,,0.5714,unmatched,PLC0141,Jasim Uddin,0.5714,12498015908,"Dhaka Uddan Bus stop, Bus stop",23.7643684,90.3478272,0.6667,manual_review,no,SRC_BUS_GITHUB
kakali,kakali,,,0.8333,unmatched,PLC0154,Kakoli,0.8333,12078090908,Kakoli Bus station,23.7952338,90.4009018,0.8333,manual_review,no,SRC_BUS_GITHUB
