service_id,operator_name_en,operator_name_bn,variant_no_for_operator,start_stop_raw,end_stop_raw,declared_stop_count,parsed_stop_count,canonical_match_count,canonical_match_rate,unique_canonical_stop_count,route_signature_sha1_12,service_type,time_text,current_status,source_id
SVC0069,Green Dhaka,গ্রীন ঢাকা বাস,1,Motijheel,Abdullahpur,29,29,21,0.7241,21,de61cfb85c49,Sitting Service(Ticket System),,needs_validation,SRC_BUS_GITHUB
SVC0070,Gulshan Chaka,গুলশান চাকা বাস,1,Banani,Notun Bazar,3,3,3,1.0000,3,a8d67eee7d62,Sitting Service(Ticket System),,needs_validation,SRC_BUS_GITHUB
SVC0071,Hazi Transport,হাজি ট্রান্সপোর্ট বাস,1,Mirpur 12,Motijheel,19,19,19,1.0000,19,842e59436fb2,,,needs_validation,SRC_BUS_GITHUB
SVC0072,Himachal,হিমাচল বাস,1,Mirpur Sony Cinema Hall,Khilgaon Khidma Hospital,10,10,8,0.8000,8,3a737e88225c,,,needs_validation,SRC_BUS_GITHUB
SVC0073,Himachal Suveccha,হিমাচল শুভেচ্ছা বাস,1,Metro Hall,Mirpur 12,28,28,19,0.6786,19,6370103941fe,,,needs_validation,SRC_BUS_GITHUB
SVC0074,Himalay,হিমালয় বাস,1,Madanpur,Tongi,5,5,4,0.8000,4,a0ae39c09cb8,Half-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0075,Itihash,ইতিহাস বাস,1,Mirpur 14,Chandra,14,14,12,0.8571,12,ce7461b857ed,,,needs_validation,SRC_BUS_GITHUB
SVC0076,Jabale Noor Paribahan,জাবালে নুর পরিবহন বাস,1,Agargaon,Abdullahpur,14,14,12,0.8571,12,756783ee6c26,Half-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0077,Jabale Noor Paribahan,জাবালে নুর পরিবহন বাস,2,Gabtoli,Notun Bazar,6,6,6,1.0000,6,bbf6253b5a77,Half-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0078,Kamal Plus Paribahan,কামাল প্লাস পরিবহন বাস,1,Chittagong Road,Ghatar Char,21,21,18,0.8571,18,d17855bb02e1,,,needs_validation,SRC_BUS_GITHUB
SVC0079,kanak,কনক বাস,1,Mirpur 1,Abdulla,17,17,11,0.6471,11,d8254ea6a3b8,,,needs_validation,SRC_BUS_GITHUB
SVC0080,Khajababa,খাজা বাবা বাস,1,Jatrabari,Mirpur 12,22,22,21,0.9545,21,f2fd4a192420,,,needs_validation,SRC_BUS_GITHUB
SVC0081,Kironmala Paribahan,কিরণমালা বাস,1,Chiriyakhana,Konabari,12,12,6,0.5000,6,2ce3a49c17a4,Semi-Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0082,Labbayek,লাব্বাইক বাস,1,Savar,Sign Board,31,31,26,0.8387,26,a4a4db306308,Sitting Service(Check System),,needs_validation,SRC_BUS_GITHUB
SVC0083,Lal Sabuj,AC Bus Route,1,Nandan Park,Motijheel,25,25,25,1.0000,25,9b9e3f05f332,Sitting Service,,needs_validation,SRC_BUS_GITHUB
SVC0084,Lams Paribahan,লামস পরিবহন বাস,1,Mirpur 12,Motijheel,20,20,18,0.9000,18,7ad04d2052c4,,,needs_validation,SRC_BUS_GITHUB
SVC0085,Malancha,মালঞ্চ বাস,1,Mohammadpur,Dhupkhola,17,17,14,0.8235,14,a53d6825e0e2,,,needs_validation,SRC_BUS_GITHUB
SVC0086,Manjil Express,মাঞ্জিল এক্সপ্রেস বাস,1,Chittagong Road,Abdullahpur,31,31,24,0.7742,24,ef784fc56cd0,,5:30 am – 10:30 pm,needs_validation,SRC_BUS_GITHUB
SVC0087,Meghla Transport,মেঘলা ট্রান্সপোর্ট বাস,1,Kalabagan,Vulta,17,17,15,0.8824,15,4a0aec65e97a,,,needs_validation,SRC_BUS_GITHUB
SVC0088,Meshkat,মেসকাত বাস,1,Mohammadpur,Chittagong Road,17,17,13,0.7647,13,705fbc6fe556,,,needs_validation,SRC_BUS_GITHUB
SVC0089,Midline,মিডলাইন বাস,1,Mohammadpur,Khilgaon,19,19,16,0.8421,16,ea34db9bc7b3,Semi-Sitting Service(Check System),6:00 am – 11:00 pm,needs_validation,SRC_BUS_GITHUB
SVC0090,Mirpur Metro Services,মিরপুর মেট্রো সার্ভিস বাস,1,Azimpur,Mirpur 1,19,19,16,0.8421,16,070ffc05f059,,,needs_validation,SRC_BUS_GITHUB
SVC0091,Mirpur Link,মিরপুর লিংক বাস,1,ECB Square,Azimpur,12,12,7,0.5833,7,7a0535f524cb,,,needs_validation,SRC_BUS_GITHUB
SVC0092,Mirpur Mission,মিরপুর মিশন বাস,1,Chiriyakhana,Motijheel,6,6,5,0.8333,5,609376e8210d,,,needs_validation,SRC_BUS_GITHUB
SVC0093,Mirpur United Service,মিরপুর ইউনাইটেড সার্ভিস বাস,1,Sadarghat,Mirpur 12,23,23,22,0.9565,22,63622505d5a7,,,needs_validation,SRC_BUS_GITHUB
SVC0094,MM Lovely,এম এম লাভলী বাস,1,Savar,Sign Board,31,31,26,0.8387,26,a4a4db306308,Sitting Service(Check System),,needs_validation,SRC_BUS_GITHUB
SVC0095,Modhumita,মধুমিতা বাস,1,Chiriyakhana,Demra Staff Quarter,20,20,15,0.7500,15,858d827560d6,,,needs_validation,SRC_BUS_GITHUB
SVC0096,Mohona,মোহনা বাস,1,Mirpur 14,Fantasy Kingdom,13,13,11,0.8462,11,c65418463a0b,,,needs_validation,SRC_BUS_GITHUB
SVC0097,Moitri,মৈত্রী বাস,1,Mohammadpur,Arambagh,17,17,15,0.8824,15,68e4b97ed5d9,,,needs_validation,SRC_BUS_GITHUB
SVC0098,Moumita,মৌমিতা বাস,1,Chashara,Chandra,34,34,28,0.8235,28,7de36531dfb3,,,needs_validation,SRC_BUS_GITHUB
SVC0099,MTCL-2,এমটিসিএল ২ বাস,1,Mohammadpur,Arambagh Kingdom,18,18,14,0.7778,14,bf0def9066a4,,,needs_validation,SRC_BUS_GITHUB
SVC0100,Nur E Makka,নূর এ মক্কা বাস,1,Chiriyakhana,Malibagh Railgate,25,25,14,0.5600,14,3edd32c1ca1e,Sitting Service(Check System),5:30 am – 10:30 pm,needs_validation,SRC_BUS_GITHUB
SVC0101,New Vision Dhaka,নিউ ভিশন বাস,1,Chiriyakhana,Motijheel,19,19,17,0.8947,17,f38d93d406bf,,,needs_validation,SRC_BUS_GITHUB
SVC0102,Nilachol Dhaka,নিলাচল বাস,1,Chittagong Road,Paturia,31,31,27,0.8710,27,09667245a72f,,,needs_validation,SRC_BUS_GITHUB
SVC0103,Omama International,ওমামা ইন্টারন্যাশনাল বাস,1,Motijheel,Airport,22,22,16,0.7273,16,7889e1d91b62,,5:30 am – 10:30 pm,needs_validation,SRC_BUS_GITHUB
SVC0104,Pallabi Super,পল্লবী সুপার বাস,1,Gabtoli,Kamarpara,22,22,18,0.8182,18,e52a4b3aa97a,,,needs_validation,SRC_BUS_GITHUB
SVC0105,Paristhan,পরিস্থান বাস,1,Bosila,Abdullahpur,27,27,22,0.8148,22,0acfb0d86be6,,,needs_validation,SRC_BUS_GITHUB
SVC0106,Prattay,প্রত্যয় বাস,1,Gabtoli,Babubazar,10,10,4,0.4000,4,6fd6a363948c,,,needs_validation,SRC_BUS_GITHUB
SVC0107,Prochesta,প্রচেষ্টা বাস,1,Maowa,Abdullahpur,32,32,23,0.7188,23,4e6ff4b1bf56,,,needs_validation,SRC_BUS_GITHUB
SVC0108,Projapati,প্রজাপতি বাস,1,Bosila,Kamarpara,26,26,21,0.8077,21,1e6f57691039,,,needs_validation,SRC_BUS_GITHUB
SVC0109,Provati Banasree,প্রভাতী বনশ্রী বাস,1,Fulbaria,Baromi,33,33,22,0.6667,22,ec79297591e8,,,needs_validation,SRC_BUS_GITHUB
SVC0110,Purbachol Logistics and Transport,পূর্বাচল লজিস্টিকস বাস,1,Vashantek,Chandra,16,16,15,0.9375,15,0fe871ffb457,,,needs_validation,SRC_BUS_GITHUB
SVC0111,Raida Dhaka,রাইদা বাস,1,Postagola,Dia Bari,28,28,17,0.6071,17,ce89abf49f42,Sitting Service(Check System),6:00 am – 11:00 pm,needs_validation,SRC_BUS_GITHUB
SVC0112,Raja City Dhaka,রাজা সিটি বাস,1,Postagola,Ghatar Char,19,19,16,0.8421,16,58386374c522,,,needs_validation,SRC_BUS_GITHUB
SVC0113,Rajanigandha Dhaka,রজনীগন্ধা বাস,1,Chittagong Road,Mohammadpur,20,20,16,0.8000,16,a400ad448b9a,,,needs_validation,SRC_BUS_GITHUB
