route_id,from_place_id,from_name_en,to_place_id,to_name_en,segment_distance_km,direction,source_id
BRTA_A_102_NO,PLC0317,Raysaheb Bazar,PLC0358,T&T,1.0,reverse,SRC_BRTA_METRO_FARES
BRTA_A_102_NO,PLC0317,Raysaheb Bazar,PLC0380,Victoria Park,1.2,forward,SRC_BRTA_METRO_FARES
BRTA_A_102_NO,PLC0380,Victoria Park,PLC0317,Raysaheb Bazar,1.2,reverse,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0102,Duyaripara,PLC0243,Mirpur-12,0.9,forward,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0243,Mirpur-12,PLC0102,Duyaripara,0.9,reverse,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0243,Mirpur-12,PLC0237,Mirpur Sade 11,0.4,forward,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0237,Mirpur Sade 11,PLC0243,Mirpur-12,0.4,reverse,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0237,Mirpur Sade 11,PLC0028,Baikali Hotel,0.5,forward,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0028,Baikali Hotel,PLC0237,Mirpur Sade 11,0.5,reverse,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0028,Baikali Hotel,PLC0241,Mirpur-11,0.5,forward,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0241,Mirpur-11,PLC0028,Baikali Hotel,0.5,reverse,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0241,Mirpur-11,PLC0240,Mirpur-10,0.9,forward,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0240,Mirpur-10,PLC0241,Mirpur-11,0.9,reverse,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0240,Mirpur-10,PLC0179,Kazipara,1.4,forward,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0179,Kazipara,PLC0240,Mirpur-10,1.4,reverse,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0179,Kazipara,PLC0340,Shewrapara,0.7,forward,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0340,Shewrapara,PLC0179,Kazipara,0.7,reverse,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0340,Shewrapara,PLC0004,Agargaon,1.7,forward,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0004,Agargaon,PLC0340,Shewrapara,1.7,reverse,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0004,Agargaon,PLC0186,Khanmondol,3.6,forward,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0186,Khanmondol,PLC0004,Agargaon,3.6,reverse,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0186,Khanmondol,PLC0344,Shukrabad,0.5,forward,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0344,Shukrabad,PLC0186,Khanmondol,0.5,reverse,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0344,Shukrabad,PLC0088,Dhakeswari Mandir,4.0,forward,SRC_BRTA_METRO_FARES
BRTA_A_103_NO,PLC0088,Dhakeswari Mandir,PLC0344,Shukrabad,4.0,reverse,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,PLC0102,Duyaripara,PLC0297,Prashika,2.0,forward,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,PLC0297,Prashika,PLC0102,Duyaripara,2.0,reverse,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,PLC0297,Prashika,PLC0238,Mirpur Thana,0.4,forward,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,PLC0238,Mirpur Thana,PLC0297,Prashika,0.4,reverse,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,PLC0238,Mirpur Thana,PLC0239,Mirpur-1,1.3,forward,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,PLC0239,Mirpur-1,PLC0238,Mirpur Thana,1.3,reverse,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,PLC0239,Mirpur-1,PLC0008,Ansar Camp,0.9,forward,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,PLC0008,Ansar Camp,PLC0239,Mirpur-1,0.9,reverse,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,PLC0008,Ansar Camp,PLC0362,Technical,0.9,forward,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,PLC0362,Technical,PLC0008,Ansar Camp,0.9,reverse,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,PLC0362,Technical,PLC0012,Asad Gate,2.6,forward,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,PLC0012,Asad Gate,PLC0362,Technical,2.6,reverse,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,PLC0012,Asad Gate,PLC0329,Science Lab,3.7,forward,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,PLC0329,Science Lab,PLC0012,Asad Gate,3.7,reverse,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,PLC0329,Science Lab,PLC0067,BUET,3.1,forward,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,PLC0067,BUET,PLC0329,Science Lab,3.1,reverse,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,PLC0067,BUET,PLC0125,Gulistan,1.8,forward,SRC_BRTA_METRO_FARES
BRTA_A_110_NO,PLC0125,Gulistan,PLC0067,BUET,1.8,reverse,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,PLC0289,Pallabi (Ceramic),PLC0242,Mirpur-11 1/2,0.7,forward,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,PLC0242,Mirpur-11 1/2,PLC0289,Pallabi (Ceramic),0.7,reverse,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,PLC0242,Mirpur-11 1/2,PLC0028,Baikali Hotel,0.4,forward,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,PLC0028,Baikali Hotel,PLC0242,Mirpur-11 1/2,0.4,reverse,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,PLC0028,Baikali Hotel,PLC0241,Mirpur-11,0.4,forward,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,PLC0241,Mirpur-11,PLC0028,Baikali Hotel,0.4,reverse,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,PLC0241,Mirpur-11,PLC0240,Mirpur-10,1.1,forward,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,PLC0240,Mirpur-10,PLC0241,Mirpur-11,1.1,reverse,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,PLC0240,Mirpur-10,PLC0179,Kazipara,1.1,forward,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,PLC0179,Kazipara,PLC0240,Mirpur-10,1.1,reverse,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,PLC0179,Kazipara,PLC0112,Farmgate,5.3,forward,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,PLC0112,Farmgate,PLC0179,Kazipara,5.3,reverse,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,PLC0112,Farmgate,PLC0292,Palton,4.5,forward,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,PLC0292,Palton,PLC0112,Farmgate,4.5,reverse,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,PLC0292,Palton,PLC0354,Stadium,0.3,forward,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,PLC0354,Stadium,PLC0292,Palton,0.3,reverse,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,PLC0354,Stadium,PLC0283,Notre Dame College,3.2,forward,SRC_BRTA_METRO_FARES
BRTA_A_111_NO,PLC0283,Notre Dame College,PLC0354,Stadium,3.2,reverse,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0387,Zoo,PLC0239,Mirpur-1,1.8,forward,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0239,Mirpur-1,PLC0387,Zoo,1.8,reverse,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0239,Mirpur-1,PLC0008,Ansar Camp,0.9,forward,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0008,Ansar Camp,PLC0239,Mirpur-1,0.9,reverse,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0008,Ansar Camp,PLC0080,Darussalam,1.1,forward,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0080,Darussalam,PLC0008,Ansar Camp,1.1,reverse,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0080,Darussalam,PLC0163,Kalyanpur,1.2,forward,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0163,Kalyanpur,PLC0080,Darussalam,1.2,reverse,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0163,Kalyanpur,PLC0346,Shyamoli,0.4,forward,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0346,Shyamoli,PLC0163,Kalyanpur,0.4,reverse,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0346,Shyamoli,PLC0078,College Gate,0.9,forward,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0078,College Gate,PLC0346,Shyamoli,0.9,reverse,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0078,College Gate,PLC0012,Asad Gate,0.9,forward,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0012,Asad Gate,PLC0078,College Gate,0.9,reverse,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0012,Asad Gate,PLC0112,Farmgate,1.8,forward,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0112,Farmgate,PLC0012,Asad Gate,1.8,reverse,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0112,Farmgate,PLC0178,Kawran Bazar,1.0,forward,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0178,Kawran Bazar,PLC0112,Farmgate,1.0,reverse,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0178,Kawran Bazar,PLC0331,Shahbag,1.4,forward,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0331,Shahbag,PLC0178,Kawran Bazar,1.4,reverse,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0331,Shahbag,PLC0298,Press Club,1.7,forward,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0298,Press Club,PLC0331,Shahbag,1.7,reverse,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0298,Press Club,PLC0354,Stadium,1.0,forward,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0354,Stadium,PLC0298,Press Club,1.0,reverse,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0354,Stadium,PLC0136,Intefak,3.1,forward,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0136,Intefak,PLC0354,Stadium,3.1,reverse,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0136,Intefak,PLC0327,Sayedabad,1.1,forward,SRC_BRTA_METRO_FARES
BRTA_A_114_NO,PLC0327,Sayedabad,PLC0136,Intefak,1.1,reverse,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0239,Mirpur-1,PLC0008,Ansar Camp,1.0,forward,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0008,Ansar Camp,PLC0239,Mirpur-1,1.0,reverse,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0008,Ansar Camp,PLC0362,Technical,1.2,forward,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0362,Technical,PLC0008,Ansar Camp,1.2,reverse,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0362,Technical,PLC0163,Kalyanpur,1.0,forward,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0163,Kalyanpur,PLC0362,Technical,1.0,reverse,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0163,Kalyanpur,PLC0346,Shyamoli,0.7,forward,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0346,Shyamoli,PLC0163,Kalyanpur,0.7,reverse,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0346,Shyamoli,PLC0078,College Gate,0.7,forward,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0078,College Gate,PLC0346,Shyamoli,0.7,reverse,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0078,College Gate,PLC0344,Shukrabad,2.2,forward,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0344,Shukrabad,PLC0078,College Gate,2.2,reverse,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0344,Shukrabad,PLC0156,Kalabagan,0.6,forward,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0156,Kalabagan,PLC0344,Shukrabad,0.6,reverse,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0156,Kalabagan,PLC0329,Science Lab,1.0,forward,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0329,Science Lab,PLC0156,Kalabagan,1.0,reverse,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0329,Science Lab,PLC0177,Katabon,0.9,forward,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0177,Katabon,PLC0329,Science Lab,0.9,reverse,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0177,Katabon,PLC0331,Shahbag,0.4,forward,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0331,Shahbag,PLC0177,Katabon,0.4,reverse,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0331,Shahbag,PLC0298,Press Club,1.8,forward,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0298,Press Club,PLC0331,Shahbag,1.8,reverse,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0298,Press Club,PLC0128,Gulistan Morh,1.0,forward,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0128,Gulistan Morh,PLC0298,Press Club,1.0,reverse,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0128,Gulistan Morh,PLC0038,Bangladesh Bank,1.3,forward,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0038,Bangladesh Bank,PLC0128,Gulistan Morh,1.3,reverse,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0038,Bangladesh Bank,PLC0143,Jatrabari,3.8,forward,SRC_BRTA_METRO_FARES
BRTA_A_115_NO,PLC0143,Jatrabari,PLC0038,Bangladesh Bank,3.8,reverse,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,PLC0243,Mirpur-12,PLC0105,ECB Morh,4.4,forward,SRC_BRTA_METRO_FARES
BRTA_A_122_NO,PLC0105,ECB Morh,PLC0243,Mirpur-12,4.4,reverse,SRC_BRTA_METRO_FARES
