entity_type,entity_id,name_en,name_bn,search_text,latitude,longitude,provider,confidence,status
official_place,PLC0048,Basila CNG Stand,বসিলা সিএনজি স্ট্যান্ড,"Basila CNG Stand, Dhaka, Bangladesh",,,,,pending
official_place,PLC0049,Beraid,বেরাইদ,"Beraid, Dhaka, Bangladesh",,,,,pending
official_place,PLC0050,Beribadh,বেড়িবাঁধ,"Beribadh, Dhaka, Bangladesh",,,,,pending
official_place,PLC0051,Bezgaon Chourasta,বেজগাঁও চৌরাস্তা,"Bezgaon Chourasta, Dhaka, Bangladesh",,,,,pending
official_place,PLC0052,Bhabantek,ভাবানটেক,"Bhabantek, Dhaka, Bangladesh",,,,,pending
official_place,PLC0053,Bhawal Vita (South Keraniganj),ভাওয়াল ভিটা (দক্ষিণ কেরানীগঞ্জ),"Bhawal Vita (South Keraniganj), Dhaka, Bangladesh",,,,,pending
official_place,PLC0054,Bhulta,ভুলতা,"Bhulta, Dhaka, Bangladesh",,,,,pending
official_place,PLC0055,Bhulta (Gausia),ভুলতা (গাউছিয়া),"Bhulta (Gausia), Dhaka, Bangladesh",,,,,pending
official_place,PLC0056,Bigatla,বিগাতলা,"Bigatla, Dhaka, Bangladesh",,,,,pending
official_place,PLC0057,Bijay Smarani,বিজয় স্মরণী,"Bijay Smarani, Dhaka, Bangladesh",,,,,pending
official_place,PLC0058,Bijoy Nagar,বিজয় নগর,"Bijoy Nagar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0059,Bijoy Smriti,বিজয় স্মরণী,"Bijoy Smriti, Dhaka, Bangladesh",,,,,pending
official_place,PLC0060,Bishwo Road,বিশ্বরোড,"Bishwo Road, Dhaka, Bangladesh",,,,,pending
official_place,PLC0061,Board Bazar,বোর্ড বাজার,"Board Bazar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0062,Bomi,বমী,"Bomi, Dhaka, Bangladesh",,,,,pending
official_place,PLC0063,Bonoshri,বনশ্রী,"Bonoshri, Dhaka, Bangladesh",,,,,pending
official_place,PLC0064,Bonsree,বনশ্রী,"Bonsree, Dhaka, Bangladesh",,,,,pending
official_place,PLC0065,Bonsree (Meradia),বনশ্রী (মেরাদিয়া),"Bonsree (Meradia), Dhaka, Bangladesh",,,,,pending
official_place,PLC0066,Borongail,বরংগাইল,"Borongail, Dhaka, Bangladesh",,,,,pending
official_place,PLC0067,BUET,বুয়েট,"BUET, Dhaka, Bangladesh",,,,,pending
official_place,PLC0068,Cantonment Signal Gate,ক্যান্টনমেন্ট সিগন্যাল গেট,"Cantonment Signal Gate, Dhaka, Bangladesh",,,,,pending
official_place,PLC0069,Chancharpul,চাঁনখারপুল,"Chancharpul, Dhaka, Bangladesh",,,,,pending
official_place,PLC0070,Chandra,চন্দ্রা,"Chandra, Dhaka, Bangladesh",,,,,pending
official_place,PLC0071,Chankharpul,চানখারপুল,"Chankharpul, Dhaka, Bangladesh",,,,,pending
official_place,PLC0072,Chasara Bus Stand,চাষাঢ়া বাসস্ট্যান্ড,"Chasara Bus Stand, Dhaka, Bangladesh",,,,,pending
official_place,PLC0073,Cherag Ali,চেরাগআলী,"Cherag Ali, Dhaka, Bangladesh",,,,,pending
official_place,PLC0074,Chourasta,চৌরাস্তা,"Chourasta, Dhaka, Bangladesh",,,,,pending
official_place,PLC0075,Chun Kutia,চুন কুটিয়া,"Chun Kutia, Dhaka, Bangladesh",,,,,pending
official_place,PLC0076,Chunkutia Bazar,চুনকুটিয়া বাজার,"Chunkutia Bazar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0077,City College,সিটি কলেজ,"City College, Dhaka, Bangladesh",,,,,pending
official_place,PLC0078,College Gate,কলেজগেট,"College Gate, Dhaka, Bangladesh",,,,,pending
official_place,PLC0079,Daily Bangla,দৈনিক বাংলা,"Daily Bangla, Dhaka, Bangladesh",,,,,pending
official_place,PLC0080,Darussalam,দারুসসালাম,"Darussalam, Dhaka, Bangladesh",,,,,pending
official_place,PLC0081,Dayaganj Road,দয়াগঞ্জ রোড,"Dayaganj Road, Dhaka, Bangladesh",,,,,pending
official_place,PLC0082,Demra,ডেমরা,"Demra, Dhaka, Bangladesh",,,,,pending
official_place,PLC0083,Demra Bridge,ডেমরা ব্রীজ,"Demra Bridge, Dhaka, Bangladesh",,,,,pending
official_place,PLC0084,Demra Staff Quarter,ডেমরা স্টাফ কোয়ার্টার,"Demra Staff Quarter, Dhaka, Bangladesh",,,,,pending
official_place,PLC0085,Dhaka City College,ঢাকা সিটি কলেজ,"Dhaka City College, Dhaka, Bangladesh",,,,,pending
